rowid,pl_letter,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,soltype,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_cmasse,pl_cmassj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,pl_tsystemref,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,ra,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_icmag,sy_tmag,sy_kepmag,pl_nnotes,k2_campaigns_num,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec,pl_rade_hom,pl_masse_hom,B_V,V_K,J_K,MV_abs,discoverymethod_Microlensing,discoverymethod_Radial Velocity,discoverymethod_Transit,pl_orbper_is_missing,pl_orbsmax_is_missing,pl_rade_is_missing,pl_radj_is_missing,pl_masse_is_missing,pl_massj_is_missing,pl_msinie_is_missing,pl_msinij_is_missing,pl_cmasse_is_missing,pl_cmassj_is_missing,pl_bmasse_is_missing,pl_bmassj_is_missing,pl_dens_is_missing,pl_orbeccen_is_missing,pl_insol_is_missing,pl_eqt_is_missing,pl_orbincl_is_missing,pl_tranmid_is_missing,pl_imppar_is_missing,pl_trandep_is_missing,pl_trandur_is_missing,pl_ratdor_is_missing,pl_ratror_is_missing,pl_occdep_is_missing,pl_orbtper_is_missing,pl_orblper_is_missing,pl_rvamp_is_missing,pl_projobliq_is_missing,pl_trueobliq_is_missing,st_teff_is_missing,st_rad_is_missing,st_mass_is_missing,st_met_is_missing,st_lum_is_missing,st_logg_is_missing,st_age_is_missing,st_dens_is_missing,st_vsin_is_missing,st_rotp_is_missing,st_radv_is_missing,sy_pm_is_missing,sy_pmra_is_missing,sy_pmdec_is_missing,sy_dist_is_missing,sy_plx_is_missing,sy_bmag_is_missing,sy_vmag_is_missing,sy_jmag_is_missing,sy_hmag_is_missing,sy_kmag_is_missing,sy_umag_is_missing,sy_gmag_is_missing,sy_rmag_is_missing,sy_imag_is_missing,sy_zmag_is_missing,sy_w1mag_is_missing,sy_w2mag_is_missing,sy_w3mag_is_missing,sy_w4mag_is_missing,sy_gaiamag_is_missing,sy_icmag_is_missing,sy_tmag_is_missing,sy_kepmag_is_missing,k2_campaigns_num_is_missing,pl_rade_hom_is_missing,pl_masse_hom_is_missing,B_V_is_missing,V_K_is_missing,J_K_is_missing,MV_abs_is_missing
1.0,0,0.0,1.0,1.0,0.0,0.0,2016.0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,41.688644,0.06667999999999999,2.35545351,0.21013949,12.2,0.0383853,34.9613,0.11,35.00279063,0.11013054,12.1,0.03807067,0,2.69,0.0745,70.0,804.5,89.52554,2457068.52877,0,0.0,0.4,0.14235,2.8571999999999997,54.721028,0.022586,0.0238,2457860.59,73.0,5.01,4.9,41.0,5703.0,0.956122,0.963861,-0.06,0,-0.36021,4.38,4.7,1.729476,2.6,17.35,8.203,53.6511231,20.5990205,-28.05348,166.7966,1.31208,56.28872,63.0539428,36.5714,-51.3647,179.461,5.54366,11.765,10.849,9.770001,9.432,9.368,15.7495,14.5977,13.211,12.8886,13.3229,9.31,9.344,9.332,8.976,10.8644,,10.4021,11.04,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35545351,12.2,0.9160000000000004,1.4809999999999999,0.4020010000000003,4.579149582923188,False,False,True,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2.0,0,0.0,1.0,1.0,0.0,0.0,2016.0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,41.6855,0.241,2.23,0.19894727,16.3,0.05128528,34.9613,0.11,35.00279063,0.11013054,16.3,0.05128528,1,7.89,0.0,70.0,546.0,89.55,2457151.9021,1,0.0,0.4,0.14235,2.8571999999999997,55.8,0.02204,0.0238,2457860.59,73.0,3.1,4.9,41.0,5766.0,0.928,0.961,-0.15,0,-0.05552,4.5,3.34,1.7,3.3,17.35,-20.33638,53.6511231,20.5990205,-28.05348,166.7966,1.31208,56.28872,63.0539428,36.5714,-51.3647,179.461,5.54366,11.765,10.849,9.770001,9.432,9.368,15.7495,14.5977,13.211,12.8886,13.3229,9.31,9.344,9.332,8.976,10.8644,,10.4021,11.04,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23,16.3,0.9160000000000004,1.4809999999999999,0.4020010000000003,4.579149582923188,False,False,True,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3.0,0,1.0,1.0,1.0,0.0,0.0,2016.0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,41.6855,0.06667999999999999,2.57807,0.23,22.2481,0.07,34.9613,0.11,35.00279063,0.11013054,22.2481,0.07,1,2.69,0.0,70.0,804.5,89.55,2457164.860385,0,0.0,0.4,0.049,2.8571999999999997,55.8,0.029606,0.0238,2457860.59,73.0,3.1,4.9,41.0,5766.0,1.08,1.67,-0.15,0,-0.36021,4.5,4.7,1.89,2.6,17.35,8.203,53.6511231,20.5990205,-28.05348,166.7966,1.31208,56.28872,63.0539428,36.5714,-51.3647,179.461,5.54366,11.765,10.849,9.770001,9.432,9.368,15.7495,14.5977,13.211,12.8886,13.3229,9.31,9.344,9.332,8.976,10.8644,,10.4021,11.04,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.57807,22.2481,0.9160000000000004,1.4809999999999999,0.4020010000000003,4.579149582923188,False,False,True,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14.0,0,1.0,1.0,1.0,0.0,0.0,2020.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.7987,0.0349,1.047,0.09340708,12.2,0.0383853,34.9613,0.11,35.00279063,0.11013054,12.1,0.03807067,0,2.69,0.0,70.0,804.5,89.0025,2456813.1485,2,0.0,0.46,0.14235,2.8571999999999997,18.1,0.034,0.0238,2457860.59,73.0,5.01,4.9,41.0,3648.0,0.282,0.287,-0.048,0,-0.36021,4.999,4.7,1.729476,2.6,17.35,8.203,170.1408561,-4.8070039,51.24569,264.99528,-8.32309,172.84294,21.8630759,8.57776,-20.1101,231.828,4.35333,19.456,17.6984,13.464,12.856,12.619,15.7495,14.5977,13.211,12.8886,13.3229,12.45,12.291,11.803,8.892,16.4386,,15.3176,15.673,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.047,12.2,1.7576,5.0794,0.8450000000000006,5.71330579265401,False,False,True,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
22.0,0,1.0,1.0,1.0,0.0,0.0,2019.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28.1656,0.06667999999999999,1.87,0.16683023,12.2,0.0383853,34.9613,0.11,35.00279063,0.11013054,12.1,0.03807067,0,2.69,0.0745,70.0,804.5,88.72,2456852.6572,2,0.0,0.24,0.14235,2.8571999999999997,18.1,0.0458,0.0238,2457860.59,73.0,5.01,4.9,41.0,5300.0,0.86,0.41,0.0,1,-0.36021,4.5,4.7,1.729476,2.6,17.35,8.203,179.7058532,-3.3894613,56.94662,278.31843,-3.22646,181.07597,28.0214205,-25.1078,-12.4418,159.259,6.25088,17.881,16.014,12.759,12.147,11.933,19.7224,17.0037,15.5521,14.5637,14.0482,11.8,11.719,11.961,8.891,15.2612,,14.1497,14.904,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.87,12.2,1.8670000000000009,4.0809999999999995,0.8260000000000005,10.003480077854967,False,False,True,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
23.0,0,0.0,1.0,1.0,0.0,0.0,2019.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,28.1696,0.06667999999999999,2.2,0.2,12.2,0.0383853,34.9613,0.11,35.00279063,0.11013054,12.1,0.03807067,0,2.69,0.0745,70.0,804.5,88.72,2456824.4836,2,0.0,0.4,0.316,3.36,61.5,0.054,0.0238,2457860.59,73.0,5.01,4.9,41.0,5300.0,0.374,0.88,0.0,1,-0.36021,4.5,4.7,1.729476,2.6,17.35,8.203,179.7058532,-3.3894613,56.94662,278.31843,-3.22646,181.07597,28.0214205,-25.1078,-12.4418,159.259,6.25088,17.881,16.014,12.759,12.147,11.933,19.7224,17.0037,15.5521,14.5637,14.0482,11.8,11.719,11.961,8.891,15.2612,,14.1497,14.904,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,12.2,1.8670000000000009,4.0809999999999995,0.8260000000000005,10.003480077854967,False,False,True,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
32.0,1,1.0,1.0,0.0,0.0,0.0,2015.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,50.285869,0.06667999999999999,3.47,0.30957266,12.2,0.0383853,34.9613,0.11,35.00279063,0.11013054,12.1,0.03807067,0,2.69,0.0745,70.0,804.5,88.72,2456828.355,2,0.0,0.95,0.184,12.62,18.1,0.05345,0.0238,2457860.59,73.0,5.01,4.9,41.0,4859.0,0.74,0.88,0.0,1,-0.36021,4.5,4.7,1.729476,2.6,17.35,8.203,178.1611264,-3.0949095,56.6147,275.51697,-3.57072,179.54135,8.1450771,-7.91616,-1.91747,829.248,1.1772,12.883,11.668,9.994,9.479,9.368,15.4938,12.4747,14.1617,13.1828,11.4917,9.284,9.386,9.284,8.319,11.5044,,10.8877,11.511,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47,12.2,1.2149999999999999,2.299999999999999,0.6259999999999994,2.0745778362447584,False,False,True,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
33.0,1,0.0,1.0,0.0,0.0,0.0,2015.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,50.27762,0.06667999999999999,209.52,18.692,12.2,0.0383853,34.9613,0.11,35.00279063,0.11013054,12.1,0.03807067,0,2.69,0.0745,70.0,1466.0,88.72,2456828.3735,2,0.0,0.4,0.14235,2.8571999999999997,6.19,0.029606,0.0238,2457860.59,73.0,5.01,4.9,41.0,5141.0,10.96,0.88,-0.21,0,-0.36021,4.5,4.7,1.729476,2.6,17.35,8.203,178.1611264,-3.0949095,56.6147,275.51697,-3.57072,179.54135,8.1450771,-7.91616,-1.91747,829.248,1.1772,12.883,11.668,9.994,9.479,9.368,15.4938,12.4747,14.1617,13.1828,11.4917,9.284,9.386,9.284,8.319,11.5044,,10.8877,11.511,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,209.52,12.2,1.2149999999999999,2.299999999999999,0.6259999999999994,2.0745778362447584,False,False,True,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
45.0,1,0.0,1.0,0.0,0.0,0.0,2016.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,2.519334,0.06667999999999999,3.91,0.349,12.2,0.0383853,34.9613,0.11,35.00279063,0.11013054,12.1,0.03807067,0,2.69,0.0745,70.0,804.5,88.72,2456809.99353,2,0.0,0.4,0.14235,1.54512,18.1,0.0241,0.0238,2457860.59,73.0,5.01,4.9,41.0,6283.0,1.45,0.88,0.0,1,-0.36021,4.17,4.7,1.729476,2.6,17.35,8.203,171.2359519,-2.0851597,54.1171,264.00756,-5.39088,172.77013,7.6157731,7.0,3.0,476.884,4.35333,12.624,12.293,11.236,10.99,10.89,14.8406,14.9666,12.2253,12.0929,13.1522,10.88,10.906,11.015,9.024,12.1049,,11.7475,12.146,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.91,12.2,0.3310000000000013,1.4029999999999987,0.3460000000000001,3.900936241974904,False,False,True,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
46.0,1,0.0,1.0,0.0,0.0,0.0,2016.0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,2.5194039,0.06667999999999999,7.65729,0.68313883,12.2,0.0383853,34.9613,0.11,35.00279063,0.11013054,12.1,0.03807067,0,2.69,0.0745,219.344,804.5,88.72,2460284.25085,2,0.0,0.4,0.1935,1.113,18.1,0.029606,0.0238,2457860.59,73.0,5.01,4.9,41.0,6380.0,1.76,0.88,0.0,1,-0.36021,4.5,4.7,1.729476,2.6,17.35,8.203,171.2359519,-2.0851597,54.1171,264.00756,-5.39088,172.77013,7.6157731,7.0,3.0,476.884,4.35333,12.624,12.293,11.236,10.99,10.89,14.8406,14.9666,12.2253,12.0929,13.1522,10.88,10.906,11.015,9.024,12.1049,,11.7475,12.146,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.65729,12.2,0.3310000000000013,1.4029999999999987,0.3460000000000001,3.900936241974904,False,False,True,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
