disposition,pl_orbper,pl_orbsmax,pl_rade,pl_eqt,st_teff,st_rad,st_mass,sy_dist
CONFIRMED,41.688644,,2.35545351,,5703.0,0.956122,0.963861,179.461
CONFIRMED,41.6855,0.241,2.23,546.0,5766.0,0.928,0.961,179.461
CONFIRMED,41.6855,,2.57807,,5766.0,1.08,1.67,179.461
CANDIDATE,2.30183,,1.12,1054.0,4616.52,0.762602,0.73,97.1795
CANDIDATE,2.302368,,1.31258765,,4720.0,0.710995,,97.1795
CANDIDATE,1.1947488,,4.19,,3919.0,0.57,,290.062
CANDIDATE,6.178369,,9.91257877,,5015.0,0.789478,,117.704
CANDIDATE,6.17887,,8.84,772.0,4719.28,0.849432,0.756,117.704
CANDIDATE,1.17589,,0.86,,,0.309,,166.5844
CANDIDATE,10.6966,,1.45,,,0.588,,212.291
CANDIDATE,1.5374115,,45.0,,,1.599,,666.23
CANDIDATE,2.71189,,4.34,2336.0,6402.0,3.16745,1.28,1032.42
CANDIDATE,18.10549,,2.09985108,,6213.0,1.224685,,266.864
CONFIRMED,6.7987,0.0349,1.047,,3648.0,0.282,0.287,
CANDIDATE,79.9999,,10.2,,4542.0,0.508,,333.46
CANDIDATE,,,30.0,,,0.707,,333.46
CANDIDATE,17.77297,,26.44,830.0,5847.0,1.25428,1.06,601.265
CANDIDATE,0.99656225,,32.8,,3727.0,0.5,,335.632
CANDIDATE,14.912381,,3.55,,4224.0,0.65,,360.103
CANDIDATE,14.9139,,3.24,,,0.647,,360.103
CANDIDATE,0.57303573,,3.35,,3570.0,0.43,,1138.64
CONFIRMED,28.1656,,1.87,,,,0.41,159.259
CONFIRMED,28.1696,,2.2,,,0.374,,159.259
CANDIDATE,7.90417,,2.06,,,0.374,,159.259
CANDIDATE,7.9069606,,3.02,,3772.0,0.52,,159.259
CANDIDATE,1.0829614,,1.56,,3875.0,0.56,,299.406
CANDIDATE,0.905655,,1.57,,,0.576,,190.075
CANDIDATE,0.90552205,,1.52,,3710.0,0.5,,190.075
CANDIDATE,2.7541129,,4.87,,3834.0,0.55,,793.131
CANDIDATE,2.75421,,8.4,,,0.89,,793.131
CANDIDATE,2.75391,,3.78,,3918.0,0.436,,793.131
FALSE POSITIVE,50.285869,,3.47,,4859.0,0.74,,829.248
FALSE POSITIVE,50.27762,,209.52,1466.0,5141.0,10.96,,829.248
CANDIDATE,10.50439,,1.75,,,0.878,,84.947
CANDIDATE,1.684208,,5.51,,,0.431,,325.636
CANDIDATE,0.2122013,,0.519,,,0.188,,71.8937
CANDIDATE,0.21219899,,1.05,,3468.0,0.37,,71.8937
CANDIDATE,0.212194,,0.77,,3299.0,0.26,,71.8937
CANDIDATE,1.5778643,,7.55,,4811.0,0.73,,290.883
CANDIDATE,1.57771549,,,,5163.0,1.15585,0.87,290.883
CANDIDATE,1.57771549,,,,7333.0,2.56752,1.66,307.784
CANDIDATE,13.0113,,2.43,713.0,5347.0,0.880221,0.92,501.257
CANDIDATE,40.70206194,,,,3759.0,0.572892,0.565387,118.959
CANDIDATE,21.204739,,9.11013939,,5154.0,1.761722,,573.991
FALSE POSITIVE,2.519334,,3.91,,6283.0,1.45,,476.884
FALSE POSITIVE,2.5194039,,7.65729,,6380.0,1.76,,476.884
FALSE POSITIVE,2.519386,,19.6,,,2.03,,476.884
FALSE POSITIVE,2.51881781,,,,6380.0,1.76277,,476.884
FALSE POSITIVE,2.5194078,,7.99,,7119.0,1.72,,476.884
CANDIDATE,13.383629,,2.87289326,,5216.0,0.815235,,194.195
CANDIDATE,13.38382,,2.7,608.0,5113.71,0.65973,0.86,194.195
CANDIDATE,11.8951,,,,5040.0,0.68,,449.79
CANDIDATE,40.1401,,20.8,,,0.716,,342.596
CANDIDATE,7.4433,,2.73,,,0.724,,328.871
CANDIDATE,2.638,,2.91,1313.0,4264.47,,,
CANDIDATE,27.47083,,3.36,480.0,4947.03,0.749863,0.81,273.773
CANDIDATE,2.8268121,,40.1,,5736.0,0.98,,649.666
CONFIRMED,0.72091,,1.5,,5633.0,0.94,,706.391
CANDIDATE,4.44044,,1.32,,,1.053,,243.084
CANDIDATE,4.4416421,,1.17,,5547.0,0.9,,243.084
CANDIDATE,4.441258,,1.12422498,,5450.0,0.833852,,243.084
CANDIDATE,11.20381,,2.18,,,1.1,,325.849
CANDIDATE,8.006875,,2.384,,5403.0,0.846,0.904,511.581
CANDIDATE,3.3643115,,85.6,,6240.0,1.32,,147.352
CONFIRMED,2.13174,,0.692,,,,0.78,253.026
CANDIDATE,13.837814,,1.96,,4535.0,0.7,,253.026
CANDIDATE,13.8394,,1.29,,,0.554,,253.026
CANDIDATE,7.79983,,1.37,,,0.554,,253.026
CANDIDATE,7.7991586,,1.57,,4535.0,0.7,,253.026
CANDIDATE,3.883,,1.06,,,0.554,,253.026
CANDIDATE,2.3330982,,5.48,,3726.0,0.5,,166.356
CANDIDATE,2.33293,,3.2,,3508.0,0.224,,166.356
CANDIDATE,2.333123,,2.95,,,0.224,,166.356
CANDIDATE,20.2073,,2.12,,,0.7624,,345.0
CANDIDATE,36.7099,,,,5069.12,5.33871,,792.41
CANDIDATE,36.762337,,3.44,,4932.0,0.75,,792.41
CANDIDATE,19.565799,,6.412,,4486.0,0.854,1.193,
CANDIDATE,6.39916,,1.48,,,0.7006,,333.838
CANDIDATE,6.3991398,,1.85,,5210.0,0.8,,333.838
CANDIDATE,2.72273204,,,,8002.0,2.85976,1.93,262.833
CANDIDATE,15.695142,,2.028,,4270.0,0.625,0.743,197.438
CANDIDATE,2.48038,,1.44,,,1.27,,415.742
CANDIDATE,1.9668579,,1.51,,5063.0,0.77,,410.984
CANDIDATE,1.96712,,1.73,,,0.826,,410.984
FALSE POSITIVE,,,,,4419.0,0.52,,527.641
CANDIDATE,12.726743,,1.91,,4767.0,0.73,,393.612
CANDIDATE,13.2359,,2.09,,,0.924,,690.858
CANDIDATE,0.18746328,,217.0,,46696.0,17.27,,141.166
CANDIDATE,8.6382631,,8.53,,3720.0,0.5,,1338.23
CANDIDATE,8.63829,,6.81,,3960.0,0.438,,1338.23
CANDIDATE,8.6381,,15.99,536.0,3987.0,0.5,,1338.23
CANDIDATE,8.63795,,15.1,,,0.438,,1338.23
FALSE POSITIVE,5.7968861,,24.2,,4721.0,0.72,,233.55
FALSE POSITIVE,5.79687,,27.81,930.0,5192.0,0.79,,233.55
CANDIDATE,0.4775252,,20.1,,,0.522,,
CANDIDATE,22.197992,,5.34,,3508.0,0.4,,199.162
CANDIDATE,44.394,,4.07,,,0.318,,199.162
CANDIDATE,3.29163,,1.17,,,0.567,,219.562
CANDIDATE,3.2908998,,1.57,,4671.0,0.72,,219.562
CONFIRMED,0.877214,,1.3,,5820.0,0.93,,232.1
CONFIRMED,0.87724,0.0177,1.565,2038.0,5679.0,0.98,0.958,232.1
CONFIRMED,0.87703,,1.2,1874.0,5711.17,0.990833,1.018,232.1
CONFIRMED,0.877183,,1.40575209,,5705.0,0.932487,,232.1
CANDIDATE,2.8964139,,2.45,,3547.0,0.42,,113.012
CANDIDATE,2.89607106,,,,3565.0,0.524138,0.521398,113.012
CANDIDATE,2.896528,,1.45,,,0.242,,113.012
CANDIDATE,0.44433632,,1.01,,5208.0,0.8,,254.555
CANDIDATE,0.444372,,1.22,,5540.0,0.82,,254.555
CONFIRMED,3.80464,,1.22,,,,1.073,476.882
CANDIDATE,7.28161,,1.78,518.0,3742.0,0.49,,126.182
CANDIDATE,7.28116,,1.79,,3726.0,0.541438,0.537488,126.182
CANDIDATE,7.28076,,2.6,,,0.399,,126.182
CANDIDATE,7.28138,,17.0,,3784.0,0.399,,126.182
CANDIDATE,7.28131,,1.9,,3748.0,0.51,,126.182
CANDIDATE,4.58328,,2.21,,,0.545,,203.223
CANDIDATE,1.65336,,1.51,,,0.545,,203.223
CANDIDATE,5.28081,,10.9,,6227.0,3.01,,649.935
CANDIDATE,5.28130579,,,,6161.41,2.66957,1.17,649.935
CANDIDATE,440.0,,16.3,,4600.0,0.85,,1217.96
CANDIDATE,30.0,,22.8,,3400.0,0.89,,229.954
CANDIDATE,,,24.9,,,0.6009,,229.954
CANDIDATE,7.655533,,2.328,,5114.0,0.751,1.004,495.707
FALSE POSITIVE,27.770388,,25.1,,4598.0,0.71,,252.383
FALSE POSITIVE,27.77045,,32.79,441.0,5086.0,8.15,,252.383
CANDIDATE,0.259669,,0.77,,4340.0,0.69,,
CANDIDATE,0.25967056,,0.742,,3982.0,0.59,,
CANDIDATE,5.54583,,0.441,,,0.34,,
CANDIDATE,18.4502,,2.52,,,0.717,,340.433
CANDIDATE,35.621,0.3501,1.89,420.0,5440.0,0.898,0.954,209.071
CANDIDATE,4.1333,,1.2,,,0.312,,114.675
CANDIDATE,1.9611469,,5.93,,4166.0,0.64,,592.204
CANDIDATE,1.96133691104,,15.86577929,1225.69,4427.0,1.06738,,592.204
CANDIDATE,40.7302,,7.8,,5840.0,0.98,,835.716
CANDIDATE,40.7362,,7.28,529.0,5618.0,0.85,,835.716
CANDIDATE,18.10220826,,,,6141.1,2.04778,1.164,235.679
CANDIDATE,0.60408352,,2.26,,4331.0,0.67,,370.696
CANDIDATE,3.52743,,1.11,,3624.0,0.257,,124.872
CANDIDATE,3.52725,,1.21,,,0.257,,124.872
CANDIDATE,3.52674,,1.32,,3413.0,0.350987,0.335348,124.872
CANDIDATE,3.5269024,,2.98,,4332.0,0.67,,124.872
CANDIDATE,6340.0,,12.8,,4800.0,0.88,,2864.21
CANDIDATE,9.321691,,17.325,,5089.0,0.678,0.787,
CANDIDATE,6.662,,1.59,,,0.483,,242.573
CONFIRMED,2.71578,,1.03,,,,0.67,334.967
CONFIRMED,2.0478,0.0296,0.90819,,4520.0,0.655,0.727,
